modelo,producto,sentimiento_esperado,texto_generado,json_valido,tiempo_segundos
llama3,Smartphone X,Positivo,"Me encanta el Smartphone X, la cámara es impresionante y la velocidad de carga es rápida. El diseño es moderno y agradable al tacto. He disfrutado mucho usando este dispositivo.",True,15.35
llama3,Laptop Pro,Neutro,"El Laptop Pro ha sido un dispositivo funcional y decentemente rápido, pero no me ha sorprendido en términos de rendimiento o diseño. La experiencia de uso ha sido estándar.",True,5.62
llama3,Auriculares Inalámbricos,Negativo,"Me han decepcionado completamente. La calidad del sonido es pobre, la conexión inalámbrica es inestable y el diseño es incómodo. No recomiendo este producto a nadie.",True,5.97
llama3,Smart TV 4K,Positivo,"Me encanta mi nuevo Smart TV 4K! La calidad de la imagen es impresionante, los colores son vibrantes y la nitidez es increíble. Me gusta mucho el sistema de navegación intuitivo y las opciones de streaming disponible.",True,6.19
llama3,Consola de Videojuegos,Neutro,"La consola funciona correctamente, el diseño es atractivo y la variedad de juegos disponible es buena. No tengo observaciones ni sentimientos particularmente positivos o negativos.",True,5.56
llama3,Smartphone X,Negativo,"Desastroso. Pantalla que se congestiona, batería que no dura un día y sistema operativo lento. Me siento engañado por la publicidad. No recomiendo.",True,5.49
llama3,Laptop Pro,Positivo,Me encanta mi nuevo Laptop Pro! La pantalla es brillante y la capacidad de procesamiento es impresionante. El diseño es elegante y la batería dura mucho tiempo. Es un producto excelente.,True,5.61
llama3,Auriculares Inalámbricos,Neutro,"El sonido es aceptable, la conectividad inalámbrica funciona sin problemas. La construcción parece robusta y comoda en el oído. No he notado errores significativos.",True,5.8
llama3,Smart TV 4K,Negativo,"Me ha decepcionado completamente. La calidad de la imagen es pobre, los colores no son precisos y el sonido es débil. Me siento estafado después de pagar tanto dinero.",True,5.61
llama3,Consola de Videojuegos,Positivo,"Me encanta! La consola es rápida, las gráficos son impresionantes y los juegos son emocionantes. He pasado horas jugando sin parar.",True,5.43
llama3,Smartphone X,Neutro,"El dispositivo tiene una buena resistencia al agua y la cámara es decente, pero no me ha impresionado especialmente en términos de rendimiento o diseño.",True,5.24
llama3,Laptop Pro,Negativo,"Estoy desesperado con este laptop, el procesador es lentísimo y la batería no dura más allá de 2 horas. La pantalla también es muy débil y no puedo ver nada en condiciones de iluminación normal.",True,5.87
llama3,Auriculares Inalámbricos,Positivo,"Me encantan! Los auriculares son cómodos, la calidad del audio es excelente y la conexión inalámbrica es estable. He pasado horas escuchando música sin problemas.",True,5.69
llama3,Smart TV 4K,Neutro,"El Smart TV 4K ha funcionado correctamente sin problemas notables. La calidad de la imagen es buena, pero no impresiona notablemente en comparación con mis expectativas. No tengo nada que reprochar, pero tampoco hay algo que destacar especialmente.",True,5.97
llama3,Consola de Videojuegos,Negativo,"La consola es un desastre. La velocidad de carga de juegos es lenta, la controller se desincroniza constantemente y los gráficos son pobres en comparación con otras consolas del mismo rango. No recomendable.",True,6.0
llama3,Smartphone X,Positivo,Me encanta mi nuevo Smartphone X. La pantalla es brillante y el procesador es rápido. La cámara toma fotos increíbles y la batería dura todo el día.,True,5.32
llama3,Laptop Pro,Neutro,"El equipo funcionó de manera estable y sin problemas durante mi experiencia inicial. La pantalla es clara, el procesador es rápido y la batería dura lo suficiente para una jornada laboral. No hay características que me sorprendan o me desagraden.",True,6.17
llama3,Auriculares Inalámbricos,Negativo,Muy decepcionados con la calidad. Los auriculares se desincronizan constantemente y el sonido es débil y ruidoso. No recomiendo este producto a nadie.,True,5.6
llama3,Smart TV 4K,Positivo,"Me encanta mi nueva Smart TV 4K, la calidad de la imagen es impresionante y la variedad de funciones es increíble. He disfrutado mucho viendo mis programas favoritos en 4K y el sonido es superlativo.",True,6.12
